CODGEO,pct_femmes_pop,pct_cadres_pop,age_median_pop
01249,51.03,18.76,42.0
01250,50.2,13.78,42.0
01252,48.09,17.15,42.0
01254,50.94,19.9,42.0
01255,51.78,1.73,42.0
01257,46.4,15.8,42.0
01258,49.08,17.05,42.0
01259,52.39,11.93,42.0
01260,45.69,8.82,42.0
01261,48.7,16.67,42.0
01262,52.05,14.23,42.0
01263,50.5,16.4,42.0
01264,51.61,9.55,42.0
01265,50.86,4.47,42.0
01266,54.31,7.01,42.0
01267,49.23,10.62,42.0
01268,50.17,3.85,42.0
01269,51.16,10.9,42.0
01272,52.84,6.67,42.0
01273,49.22,9.2,42.0
01274,50.42,3.7,42.0
01275,49.16,25.71,42.0
01276,49.85,12.5,42.0
01277,46.83,16.67,42.0
01279,46.48,0.0,42.0
01280,40.4,22.22,42.0
01281,50.34,25.06,42.0
01282,46.79,25.18,42.0
01283,50.32,7.49,42.0
01284,49.81,7.89,42.0
01285,49.03,20.31,42.0
01286,50.97,12.64,42.0
01288,49.21,21.28,42.0
01289,52.29,15.03,42.0
01290,49.86,15.89,42.0
01291,48.77,11.54,42.0
01293,48.37,26.67,42.0
01294,49.56,6.59,42.0
01295,51.22,13.51,42.0
01296,48.75,9.09,42.0
01297,48.92,22.54,42.0
01298,48.67,12.5,42.0
01299,49.45,15.64,42.0
01301,50.37,10.74,42.0
01302,47.27,6.25,42.0
01303,50.67,11.95,42.0
01304,50.43,12.15,42.0
01305,52.15,6.92,42.0
01306,54.08,5.95,42.0
01307,49.17,14.69,42.0
01308,50.84,6.63,42.0
01309,44.16,0.0,42.0
01310,36.33,0.0,42.0
01311,51.92,0.0,42.0
01313,51.16,29.99,42.0
01314,51.08,20.45,42.0
01317,52.14,5.71,42.0
01318,50.19,16.9,42.0
01319,49.03,9.27,42.0
01320,50.25,10.64,42.0
01321,48.67,15.62,42.0
01322,50.89,20.99,42.0
01323,49.55,3.19,42.0
01325,49.78,18.81,42.0
01328,55.19,16.67,42.0
01329,44.51,19.05,42.0
01331,47.92,4.55,42.0
01332,51.53,7.31,42.0
01333,52.69,14.47,42.0
01334,51.08,17.19,42.0
01335,47.61,15.15,42.0
01336,51.06,7.61,42.0
01337,50.87,8.77,42.0
01338,50.11,5.56,42.0
